Census Tract,PM2.5 Score,PM2.5 Weight,Pollution Burden Score,PB Weight,Education Score,Edu Weight,Poverty Score,Pov Weight,Unemployment Score,Unemp Weight,Housing Burden Score,HB Weight,Ling Iso Score,LI Weight,Incarceration Score,Incar Weight,Avg. Energy Burden (% income),Energy Burden Score,EB Weight,Cumulative Weighted Score (Ignore NaNs)
6037604001,7.84724393,,6.5,,7.132713271,,6.277928063,,2.375,,6.48024012,,5.001,,5.096056623,,2,1.428571429,,4.828430824
6037604002,7.4054392,,5.4,,7.225722572,,7.029355776,,5.502,,7.809904952,,7.251,,4.550050556,,2,1.428571429,,5.754436116
6037604100,7.927477337,,6.68,,6.760676068,,6.587516281,,3.227,,7.051525763,,6.017,,N/A,,2,1.428571429,,0
6037604101,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,6.440849343,,,N/A,,0
6037604102,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.984833165,,,N/A,,0
6037604200,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,4.711830131,,,N/A,,0
6037609900,6.382202772,,3.8,,6.631663166,,6.083558762,,6.84,,6.28114057,,N/A,,9.312436805,,2,1.428571429,,0
6037620001,7.179326873,,6.86,,2.02920292,,1.311491834,,5.389,,0.1470735368,,0.738,,8.786653185,,1,0,,2.756123118
6037620002,7.274148171,,7.14,,1.311131113,,2.233243162,,5.619,,2.774387194,,3.921,,5.207280081,,1,0,,3.309254313
6037620101,7.500260498,,5.99,,0.4670467047,,2.558861837,,7.253,,4.75937969,,1.33,,5.389282103,,1,0,,3.653674182
6037620102,7.221006565,,6.81,,0.6520652065,,2.352469692,,5.836,,3.317658829,,0.459,,4.084934277,,1,0,,3.015741493
6037620201,7.258518287,,5.49,,0.04200420042,,0.8816751828,,2.257,,1.581790895,,0.564,,6.774519717,,1,0,,2.006744731
6037620301,7.079295613,,5.57,,0.1770177018,,0.2294359283,,0.869,,2.104052026,,0,,6.643073812,,1,0,,1.706482614
6037620303,7.192872773,,5.78,,0.3870387039,,0.03206091574,,2.941,,0.188094047,,0,,8.816986855,,1,0,,1.906556252
